basis,p,distance,rounds,shots,failures_any,logical_error_rate_any,failures_obs0,logical_error_rate_obs0,failures_obs1,logical_error_rate_obs1,num_qubits,num_detectors,num_measurements,num_observables
X,0.01,11,11,100000,28211,0.28211,16579,0.16579,17343,0.17343,484,2541,2904,2
X,0.01,13,13,100000,33628,0.33628,20077,0.20077,20798,0.20798,676,4225,4732,2
X,0.01,15,15,100000,39040,0.3904,23525,0.23525,24488,0.24488,900,6525,7200,2
X,0.012,3,3,100000,18835,0.18835,10773,0.10773,11025,0.11025,36,45,72,2
X,0.012,5,5,100000,26436,0.26436,15422,0.15422,15860,0.1586,100,225,300,2
X,0.012,7,7,100000,35139,0.35139,20914,0.20914,21683,0.21683,196,637,784,2
X,0.012,9,9,100000,44698,0.44698,27278,0.27278,28049,0.28049,324,1377,1620,2
X,0.012,11,11,100000,53832,0.53832,33751,0.33751,34346,0.34346,484,2541,2904,2
X,0.012,13,13,100000,61699,0.61699,39591,0.39591,39781,0.39781,676,4225,4732,2
X,0.012,15,15,100000,67754,0.67754,44068,0.44068,44285,0.44285,900,6525,7200,2
